siteCode,cityName,cityCode,cityEnName,siteName,siteEnName,countryCode,countryName,countryEnName,siteType
"ZD98074","图木舒克市","659003","Tumxuk","图木舒克唐王城机场","","CN","中国","China","1"
"ZD14077","广州市","440100","Guangzhou","广州白云国际机场","","CN","中国","China","1"
"ZD43777","北京市","110100","Beijing","北京大兴国际机场","","CN","中国","China","1"
"ZD54572","武汉市","420100","Wuhan","武汉天河国际机场","","CN","中国","China","1"
"ZD61559","大连市","210200","Dalian","大连周水子国际机场","","CN","中国","China","1"
"ZD95504","深圳市","440300","Shenzhen","深圳宝安国际机场","","CN","中国","China","1"
"ZD24135","郑州市","410100","Zhengzhou","郑州新郑国际机场","","CN","中国","China","1"
"ZD26484","南宁市","450100","Nanning","南宁吴圩国际机场","","CN","中国","China","1"
"ZD48477","贵阳市","520100","Guiyang","贵阳龙洞堡国际机场","","CN","中国","China","1"
"ZD92587","长沙市","430100","Changsha","长沙黄花国际机场","","CN","中国","China","1"
"ZD10270","珠海市","440400","Zhuhai","珠海金湾机场","","CN","中国","China","1"
"ZD50446","哈尔滨市","230100","Harbin","哈尔滨太平国际机场","","CN","中国","China","1"
"ZD05688","沈阳市","210100","Shenyang","沈阳桃仙国际机场","","CN","中国","China","1"
"ZD42895","三亚市","460200","Sanya","三亚凤凰国际机场","","CN","中国","China","1"
"ZD68952","揭阳市","445200","Jieyang","揭阳潮汕国际机场","","CN","中国","China","1"
"ZD71819","海口市","460100","Haikou","海口美兰国际机场","","CN","中国","China","1"
"ZD77756","南阳市","411300","Nanyang","南阳姜营机场","","CN","中国","China","1"
"ZD76391","青岛市","370200","Qingdao","青岛胶东国际机场","","CN","中国","China","1"
"ZD39250","昆明市","530100","Kunming","昆明长水国际机场","","CN","中国","China","1"
"ZD09525","合肥市","340100","Hefei","合肥新桥国际机场","","CN","中国","China","1"
"ZD53125","成都市","510100","Chengdu","成都天府国际机场","","CN","中国","China","1"
"ZD94423","南昌市","360100","Nanchang","南昌昌北国际机场","","CN","中国","China","1"
"ZD12009","太原市","140100","Taiyuan","太原武宿国际机场","","CN","中国","China","1"
"ZD45596","宁波市","330200","Ningbo","宁波栎社国际机场","","CN","中国","China","1"
"ZD82273","无锡市","320200","Wuxi","苏南硕放国际机场","","CN","中国","China","1"
"ZD44104","上海市","310100","Shanghai","上海浦东国际机场","","CN","中国","China","1"
"ZD47878","上海市","310100","Shanghai","上海虹桥国际机场","","CN","中国","China","1"
"ZD85159","成都市","510100","Chengdu","成都双流国际机场","","CN","中国","China","1"
"ZD09252","北京市","110100","Beijing","北京首都国际机场","","CN","中国","China","1"
"ZD20234","咸阳市","610400","Xianyang ","西安咸阳国际机场","","CN","中国","China","1"
"ZD41743","长春市","220100","Changchun","长春龙嘉国际机场","","CN","中国","China","1"
"ZD54846","福州市","350100","Fuzhou","福州长乐国际机场","","CN","中国","China","1"
"ZD75053","衢州市","330800","Quzhou","衢州机场","","CN","中国","China","1"
"ZD47362","金华市","330700","Jinhua","义乌机场","","CN","中国","China","1"
"ZD71724","台州市","331000","Taizhou","台州路桥机场","","CN","中国","China","1"
"ZD57061","荆州市","421000","Jingzhou","荆州沙市机场","Jingzhou Shashi Airport","CN","中国","China","1"
"ZD22673","巴中市","511900","Bazhong","巴中恩阳机场","","CN","中国","China","1"
"ZD03496","张家界市","430800","Zhangjiajie ","张家界荷花国际机场","","CN","中国","China","1"
"ZD82364","唐山市","130200","Tangshan","唐山三女河机场","","CN","中国","China","1"
"ZD79684","黄山市","341000","Huangshan","黄山屯溪国际机场","","CN","中国","China","1"
"ZD69098","襄阳市","420600","","襄阳刘集机场","","CN","中国","China","1"
"ZD47030","吉安市","360800","Jian","吉安井冈山机场","","CN","中国","China","1"
"ZD85866","济南市","370100","Jinan","济南遥墙国际机场","","CN","中国","China","1"
"ZD59730","铜仁市","520600","Tongren","铜仁凤凰机场","","CN","中国","China","1"
"ZD64792","遵义市","520300","Zunyi","遵义新舟机场","","CN","中国","China","1"
"ZD95316","三明市","350400","Sanming","三明沙县机场","","CN","中国","China","1"
"ZD54708","乌海市","150300","Wuhai","乌海机场","","CN","中国","China","1"
"ZD99172","常州市","320400","Changzhou","常州奔牛国际机场","","CN","中国","China","1"
"ZD97195","绵阳市","510700","Mianyang ","绵阳南郊机场","","CN","中国","China","1"
"ZD18484","威海市","371000","Weihai","威海国际机场","Weihai Dashuibo International Airport","CN","中国","China","1"
"ZD34460","呼和浩特市","150100","Hohhot","呼和浩特白塔国际机场","","CN","中国","China","1"
"ZD74002","杭州市","330100","Hangzhou","杭州萧山国际机场","","CN","中国","China","1"
"ZD26815","厦门市","350200","Shamen","厦门高崎国际机场","","CN","中国","China","1"
"ZD14735","重庆市","500100","Chongqing","重庆江北国际机场","","CN","中国","China","1"
"ZD37076","南京市","320100","Nanjing","南京禄口国际机场","","CN","中国","China","1"
"ZD71168","石家庄市","130100","Shijiazhuang ","石家庄正定国际机场","","CN","中国","China","1"
"ZD85502","温州市","330300","Wenzhou","温州龙湾国际机场","","CN","中国","China","1"
"ZD73830","阿坝藏族羌族自治州","513200","","九寨黄龙机场","Jiuzhai Huanglong Airport","CN","中国","China","1"
"ZD02335","大理白族自治州","532900","","大理荒草坝机场","Dali Fengyi Airport","CN","中国","China","1"
"ZD57272","池州市","341700","Chizhou","池州九华山机场","","CN","中国","China","1"
"ZD79804","日照市","371100","Rizhao","日照山字河机场","","CN","中国","China","1"
"ZD80202","大同市","140200","Datong","大同云冈机场","","CN","中国","China","1"
"ZD50478","丽江市","530700","","丽江三义国际机场","","CN","中国","China","1"
"ZD77493","西双版纳傣族自治州","532800","","西双版纳嘎洒国际机场","Xishuangbanna Gasa International Airport","CN","中国","China","1"
"ZD32352","惠州市","441300","Huizhou","惠州平潭机场","","CN","中国","China","1"
"ZD79531","湛江市","440800","Zhanjiang","湛江机场","","CN","中国","China","1"
"ZD22672","黔西南布依族苗族自治州","522300","Bouyei and Miao Autonomy in Southwest Guizhou","兴义万峰林机场","","CN","中国","China","1"
"ZD47299","桂林市","450300","Guilin","桂林两江国际机场","","CN","中国","China","1"
"ZD39803","南平市","350700","Nanping","武夷山机场","","CN","中国","China","1"
"ZD77283","拉萨市","540100","Lasa","拉萨贡嘎国际机场","","CN","中国","China","1"
"ZD82082","伊犁哈萨克自治州","654000","","伊宁机场","yining airport","CN","中国","China","1"
"ZD13274","嘉峪关市","620200","Jiayuguan ","嘉峪关机场","","CN","中国","China","1"
"ZD69113","泉州市","350500","Quanzhou","泉州晋江国际机场","","CN","中国","China","1"
"ZD51125","酒泉市","620900","Jiuquan","敦煌莫高国际机场","","CN","中国","China","1"
"ZD13725","北海市","450500","Beihai","北海福成机场","","CN","中国","China","1"
"ZD26923","柳州市","450200","Liuzhou","柳州白莲机场","","CN","中国","China","1"
"ZD50871","毕节市","520500","Bijie","毕节飞雄机场","","CN","中国","China","1"
"ZD35561","琼海市","469002","Qionghai ","琼海博鳌机场","","CN","中国","China","1"
"ZD33765","邯郸市","130400","Handan","邯郸机场","Handan Airport","CN","中国","China","1"
"ZD55329","赤峰市","150400","Chifeng","赤峰玉龙机场","","CN","中国","China","1"
"ZD57779","牡丹江市","231000","Mudanjiang ","牡丹江海浪国际机场","","CN","中国","China","1"
"ZD58482","宜昌市","420500","Yichang","宜昌三峡机场","","CN","中国","China","1"
"ZD54880","衡阳市","430400","Hengyang","衡阳南岳机场","","CN","中国","China","1"
"ZD18087","白山市","220600","Baishan","长白山机场","Baishan Changbaishan Airport","CN","中国","China","1"
"ZD98680","南通市","320600","Nantong","南通兴东国际机场","","CN","中国","China","1"
